16:23:54.453 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.Electrostore.service.ServiceImpl.CategoryServiceImplTest], using SpringBootContextLoader
17:31:56.936 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:31:56.968 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@544820b7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6b98a075, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2e61d218, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@3569fc08, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@20b12f8a, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e84a8e1, org.springframework.test.context.transaction.TransactionalTestExecutionListener@2e554a3b, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@54a67a45, org.springframework.test.context.event.EventPublishingTestExecutionListener@7d42c224, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@56aaaecd, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@522a32b1, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@35390ee3, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5e01a982, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5ddea849, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5ee2b6f9]
17:31:57.608 INFO  c.h.E.controller.UserControllerTest - Starting UserControllerTest using Java 17.0.4 on LAPTOP-3MK6RBMS with PID 17552 (started by morek in C:\Users\morek\Desktop\BikkadIT\electro\Electrostore)
17:31:57.609 INFO  c.h.E.controller.UserControllerTest - The following 1 profile is active: "dev"
17:31:57.624 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
17:31:59.318 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:31:59.466 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 130 ms. Found 3 JPA repository interfaces.
17:32:01.427 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:32:01.624 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
17:32:01.715 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:32:02.006 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:32:02.847 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:32:02.878 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
17:32:04.138 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:32:04.168 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:32:05.571 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:32:06.973 INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:32:06.974 INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:32:06.975 INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 1 ms
17:32:07.002 INFO  c.h.E.controller.UserControllerTest - Started UserControllerTest in 9.96 seconds (JVM running for 12.109)
17:32:07.287 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:32:07.292 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:32:07.325 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:36:36.634 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.Electrostore.controller.UserControllerTest], using SpringBootContextLoader
17:36:36.648 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.Electrostore.controller.UserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:36:36.649 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.Electrostore.controller.UserControllerTest]: UserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:36:36.949 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.Electrostore.ElectrostoreApplication for test class com.happytech.Electrostore.controller.UserControllerTest
17:36:37.166 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:36:37.194 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@6b98a075, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2e61d218, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@3569fc08, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@20b12f8a, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@e84a8e1, org.springframework.test.context.support.DirtiesContextTestExecutionListener@2e554a3b, org.springframework.test.context.transaction.TransactionalTestExecutionListener@54a67a45, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7d42c224, org.springframework.test.context.event.EventPublishingTestExecutionListener@56aaaecd, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@522a32b1, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@35390ee3, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5e01a982, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5ddea849, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@5ee2b6f9, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@23d1e5d0]
17:36:37.830 INFO  c.h.E.controller.UserControllerTest - Starting UserControllerTest using Java 17.0.4 on LAPTOP-3MK6RBMS with PID 1680 (started by morek in C:\Users\morek\Desktop\BikkadIT\electro\Electrostore)
17:36:37.832 INFO  c.h.E.controller.UserControllerTest - The following 1 profile is active: "dev"
17:36:37.845 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
17:36:39.367 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:36:39.537 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 141 ms. Found 3 JPA repository interfaces.
17:36:42.083 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:36:42.205 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
17:36:42.273 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:36:42.569 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:36:43.331 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:36:43.365 INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL8Dialect
17:36:44.545 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:36:44.562 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:36:45.779 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:36:46.998 INFO  o.s.b.t.m.w.SpringBootMockServletContext - Initializing Spring TestDispatcherServlet ''
17:36:46.999 INFO  o.s.t.w.s.TestDispatcherServlet - Initializing Servlet ''
17:36:47.002 INFO  o.s.t.w.s.TestDispatcherServlet - Completed initialization in 2 ms
17:36:47.038 INFO  c.h.E.controller.UserControllerTest - Started UserControllerTest in 9.768 seconds (JVM running for 11.771)
17:36:47.430 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:36:47.434 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:36:47.467 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:38:46.241 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.happytech.Electrostore.controller.UserControllerTest], using SpringBootContextLoader
17:38:46.254 INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.happytech.Electrostore.controller.UserControllerTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:38:46.256 INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.happytech.Electrostore.controller.UserControllerTest]: UserControllerTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:38:46.565 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.happytech.Electrostore.ElectrostoreApplication for test class com.happytech.Electrostore.controller.UserControllerTest
17:38:46.725 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:38:46.754 INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@56aaaecd, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@522a32b1, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@35390ee3, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5e01a982, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@5ddea849, org.springframework.test.context.support.DirtiesContextTestExecutionListener@5ee2b6f9, org.springframework.test.context.transaction.TransactionalTestExecutionListener@23d1e5d0, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@704f1591, org.springframework.test.context.event.EventPublishingTestExecutionListener@58fb7731, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@13e547a9, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@3fb6cf60, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@37ddb69a, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@349c1daf, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@dfddc9a, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@4b9df8a]
17:38:47.313 INFO  c.h.E.controller.UserControllerTest - Starting UserControllerTest using Java 17.0.4 on LAPTOP-3MK6RBMS with PID 23648 (started by morek in C:\Users\morek\Desktop\BikkadIT\electro\Electrostore)
17:38:47.314 INFO  c.h.E.controller.UserControllerTest - The following 1 profile is active: "dev"
17:38:47.316 INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.5.Final
17:38:48.705 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:38:48.839 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 120 ms. Found 3 JPA repository interfaces.
17:38:50.651 INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:38:50.748 INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.15.Final
17:38:50.820 INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
